industry,year,quantity_change
23,1956,1.0115970095478293
Manufacturing,1956,0.9951851128895829
Durable_Goods,1956,0.9751058928438731
321,1956,0.9647873301781311
327,1956,1.0081199751388414
331,1956,0.9852927471894406
332,1956,1.0129741680242028
333,1956,1.0568491079528275
334,1956,1.0603960396039604
335,1956,1.0519169133657915
3361MV,1956,0.828613340939652
3364OT,1956,1.035729192753986
337,1956,1.028587135788895
339,1956,1.032026270040564
Nondurable_Goods,1956,1.0178347350153518
311FT,1956,1.0217767945198177
313TT,1956,0.9659331108702883
315AL,1956,1.0059352844937284
322,1956,1.0142690554436553
323,1956,1.0365537799931583
324,1956,1.0693848980663225
325,1956,1.0290137433521143
326,1956,0.9466244211552522
42,1956,1.0383996320993332
44RT,1956,1.00952343002869
441,1956,0.0
445,1956,0.0
452,1956,0.0
4A0,1956,0.0
Transportation_Warehousing,1956,1.0504794134235758
481,1956,0.0
482,1956,0.0
483,1956,0.0
484,1956,0.0
485,1956,0.0
486,1956,0.0
487OS,1956,0.0
493,1956,0.0
Information,1956,1.0238656861384765
511,1956,0.0
512,1956,0.0
513,1956,0.0
514,1956,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1956,1.0300988712923265
Finance_Insurance,1956,1.0408374554239044
521CI,1956,0.0
523,1956,0.0
524,1956,0.0
525,1956,0.0
RealEstate_Rental_Leasing,1956,1.0252052426904796
531,1956,1.0227318446992557
HS,1956,0.0
ORE,1956,0.0
532RL,1956,1.0553799849510912
Professional_BusinessServices,1956,1.0477828276624492
Professional_Scientific_TechnicalServices,1956,1.0710076605774896
5411,1956,0.0
5415,1956,0.0
5412OP,1956,0.0
55,1956,1.000897039768763
Administrative_WasteManagementServices,1956,1.0836170212765956
561,1956,0.0
562,1956,0.0
EducationalServices_HealthCare_SocialAssistance,1956,1.0705895268415853
61,1956,1.073507028382129
622HO,1956,1.0697727532259906
621,1956,0.0
622,1956,0.0
623,1956,0.0
624,1956,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1956,1.0469654937460458
Arts_Entertainment_Recreation,1956,1.032302936630603
711AS,1956,0.0
713,1956,0.0
Accommodation_FoodServices,1956,1.0498229859252224
721,1956,1.0209681191051525
722,1956,1.0555000924385283
81,1956,1.039932346025329
Government,1956,0.9879037946113697
Federal,1956,0.9608505692701719
GFG,1956,0.9636004211521519
GFGD,1956,0.0
GFGN,1956,0.0
GFE,1956,0.9220335938201744
State_Local,1956,1.038056728310638
GSLG,1956,1.0386037910309756
GSLE,1956,1.0339368122115726
Private_Goods_Industries,1956,0.9989358242927665
Private_Services_Industries,1956,1.0357562408223202
Information_Communications_Technology_Industries,1956,0.0
All_Industries,1957,1.0080332671770156
Private_Industries,1957,1.0039688372776716
Agriculture_Forestry_Fishing_Hunting,1957,0.9900703463203464
111CA,1957,0.9924513309495432
113FF,1957,0.9630985976174576
Mining,1957,0.9704856062808956
211,1957,1.028600245934482
212,1957,0.918583900062702
213,1957,0.9602135207718576
22,1957,1.0469168900804289
23,1957,0.9980410925361173
Manufacturing,1957,0.9916639424648578
Durable_Goods,1957,0.9939033683889651
321,1957,0.9424353071916176
327,1957,0.9438168728371983
331,1957,0.8865615944832804
332,1957,0.9930503704554592
333,1957,0.9387696709585122
334,1957,1.2287581699346406
335,1957,0.942202581695546
3361MV,1957,1.0427342021145807
3364OT,1957,1.1246876763117597
337,1957,0.9681502356542442
339,1957,0.9842030396047018
Nondurable_Goods,1957,0.9891666448075965
311FT,1957,0.9734961131110762
